descriere;tulburare;;;
Persistentă tristețe, pierderea interesului, scăderea energiei.;Depresia;;;
Teamă excesivă de evaluare socială, izolare și evitare a interacțiunilor sociale.;Anxietatea socială;;;
Gânduri intruzive și comportamente repetitive pentru a reduce anxietatea.;Tulburarea obsesiv-compulsivă (TOC);;;
Gânduri dezorganizate, halucinații, lipsă de funcționare socială.;Schizofrenia;;;
Schimbări extreme între stări de manie și depresie.;Tulburarea bipolara;;;
Instabilitate emoțională, relații intense, teama de abandon.;Tulburarea de personalitate borderline (TPB);;;
Consum excesiv de alimente într-un scurt interval, pierdere de control.;Tulburarea de alimentație compulsivă (TAC);;;
Reexperimentarea evenimentelor traumatice, evitarea stimuli asociati.;Tulburarea de stres post-traumatic (TSPT);;;
Atacuri neașteptate de anxietate intensă, însoțite de simptome fizice.;Tulburarea de panică;;;
Distractibilitate, impulsivitate, hiperactivitate, dificultăți de concentrare.;Tulburarea de deficit de atenție și hiperactivitate (TDAH);;;
Lipsa remușcărilor, dispreț față de drepturile altora, comportament antisocial.;Tulburarea de personalitate antisocială (TPA);;;
Teamă excesivă de judecata altora, evitarea interacțiunilor sociale.;Fobia socială;;;
Deambulare și activități complexe în timpul somnului.;Tulburarea de somnambulism;;;
Preocupare constantă și excesivă, neliniște generalizată.;Tulburarea de anxietate generalizată (TAG);;;
Ego exagerat, lipsă de empatie, nevoie de admirație constantă.;Tulburarea de personalitate narcisistă (TPN);;;
Atacuri de anxietate intensă, simptome fizice severe.;Tulburarea de panică;;;
Teamă intensă și evitarea anumitor obiecte sau situații.;Fobia specifică;;;
Simptome fizice inexplicabile fără cauza medicală.;Tulburarea de conversie;;;
Nevoia excesivă de a fi îngrijit și teama de a fi abandonat.;Tulburarea de personalitate dependenta (TPD);;;
Impulsul repetat de a paria, pierdere de control.;Tulburarea de jocuri de noroc;;;
Izolare socială, afectivitate redusă, preferința pentru singurătate.;Tulburarea de personalitate schizoidă (TPS);;;
Episoade intense și incontrolabile de furie.;Tulburarea de control a furiei;;;
Evitarea relațiilor sociale, hipersensibilitate la respingere.;Tulburarea de personalitate evitantă (TPE);;;
Manifestări fizice recurente fără cauză medicală.;Tulburarea de somatizare;;;
Distrust intens și suspiciune față de alții.;Tulburarea de personalitate paranoidă (TPP);;;
Consum compulsiv de bunuri, dificultate în controlul impulsurilor.;Tulburarea de comerț compulsiv (TCC);;;
Caută atenție excesivă, emotivitate exagerată.;Tulburarea de personalitate histrionică (TPH);;;
Simptome severe după un eveniment traumatizant;Tulburarea de stres acut (TSA);;;
Sentimente prelungite de tristețe și disperare, pierderea plăcerii în activități obișnuite.;Depresia;;;
Frica intensă de a fi judecat sau umilit în situații sociale, evitând interacțiunile cu alții.;Anxietatea socială;;;
Preocupări persistente și comportamente compulsive efectuate pentru a alina anxietatea.;Tulburarea obsesiv-compulsivă (TOC);;;
Experiențe de percepții alterate ale realității, inclusiv halucinații și deliruri, cu dificultăți de integrare socială.;Schizofrenia;;;
Alternanța între perioade de dispoziție extrem de ridicată (manie) și extrem de scăzută (depresie).;Tulburarea bipolara;;;
Variabilitate emoțională severă, frica de abandon și relații interpersonale tumultuoase.;Tulburarea de personalitate borderline (TPB);;;
Episoade frecvente de consum excesiv de alimente, urmate de sentimente de vinovăție și rușine.;Tulburarea de alimentație compulsivă (TAC);;;
Stres și anxietate severă declanșate de amintiri ale unei experiențe traumatice.;Tulburarea de stres post-traumatic (TSPT);;;
Episoade brusc și intense de teroare, adesea cu simptome fizice acute.;Tulburarea de panică;;;
Dificultăți de concentrare, comportament impulsiv și activitate excesivă.;Tulburarea de deficit de atenție și hiperactivitate (TDAH);;;
Ignorarea constantă a normelor sociale, lipsa de empatie și comportament desconsiderat față de alții.;Tulburarea de personalitate antisocială (TPA);;;
Teama persistentă de situații sociale care implică posibilitatea de a fi criticat sau judecat.;Fobia socială;;;
Activități motorii complexe efectuate în timpul somnului, inclusiv mersul.;Tulburarea de somnambulism;;;
Preocupări excesive și constante care interferează cu activitățile zilnice.;Tulburarea de anxietate generalizată (TAG);;;
Un simț inflat al propriei importanțe, o nevoie profundă de admirație și o lipsă de empatie pentru alții.;Tulburarea de personalitate narcisistă (TPN);;;
Episoade acute de anxietate și teamă, însoțite de palpitații, transpirații și senzație de sufocare.;Tulburarea de panică;;;
Teama intensă și irațională față de obiecte sau situații specifice, ducând la evitarea lor activă.;Fobia specifică;;;
Dependența excesivă de alții pentru suport emoțional și decizional.;Tulburarea de conversie;;;
Comportament compulsiv de joc, cu consecințe negative semnificative.;Tulburarea de personalitate dependenta (TPD);;;
Angajarea compulsivă în jocurile de noroc, în ciuda consecințelor negative grave, reflectând o pierdere a controlului.;Tulburarea de jocuri de noroc;;;
O preferință marcantă pentru izolarea socială, cu puțin sau deloc interes pentru relațiile sociale sau intime.;Tulburarea de personalitate schizoidă (TPS);;;
Manifestări frecvente de furie excesivă sau agresiune, care depășesc normele sociale acceptate.;Tulburarea de control a furiei;;;
O evitare persistentă a situațiilor sociale și o sensibilitate excesivă la critică sau respingere.;Tulburarea de personalitate evitantă (TPE);;;
Experiența repetată a simptomelor fizice multiple, pentru care nu se găsește o explicație medicală clară.;Tulburarea de somatizare;;;
O suspiciune nejustificată și prelungită față de intențiile altora, văzute ca fiind malefice sau înșelătoare.;Tulburarea de personalitate paranoidă (TPP);;;
Cumpărături excesive și repetate, efectuate ca o încercare de a alina disconfortul emoțional.;Tulburarea de comerț compulsiv (TCC);;;
O căutare constantă de atenție și aprobare, împreună cu o expresie emoțională excesivă și dramatism.;Tulburarea de personalitate histrionică (TPH);;;
Reacții intense de stres și anxietate care apar imediat după un eveniment traumatic, caracterizate prin amintiri intruzive, evitarea stimulilor asociați și tensiune crescută.;Tulburarea de stres acut (TSA);;;
Simt o tristețe adâncă ce mă copleșește zilnic, lipsa de interes pentru lucrurile care înainte îmi plăceau și o oboseală constantă care nu dispare, indiferent cât aș dormi.;Depresia;;;
Mă tem constant de a fi judecat de alții, ceea ce mă face să evit interacțiunile sociale și să mă izolez, chiar dacă în adâncul meu aș vrea să fiu parte din grup.;Anxietatea socială;;;
Sunt prins într-un ciclu nesfârșit de gânduri intruzive care mă împing să repet anumite ritualuri sau comportamente, doar pentru a simți un strop de ușurare.;Tulburarea obsesiv-compulsivă (TOC);;;
Experimentez gânduri haotice și dezorganizate, aud voci care nu există și mă lupt cu o incapacitate de a funcționa normal în societate.;Schizofrenia;;;
Trec de la perioade de energie și optimism excesiv, la episoade de depresie profundă, fără un motiv aparent.;Tulburarea bipolara;;;
Trăiesc o instabilitate emoțională constantă, relațiile mele sunt intense și pline de turbulențe, iar frica de abandon mă urmărește mereu.;Tulburarea de personalitate borderline (TPB);;;
Mă simt pierdut în episoade de mâncat excesiv, fără a avea control, ceea ce aduce un sentiment profund de vinovăție și rușine după aceea.;Tulburarea de alimentație compulsivă (TAC);;;
Trec frecvent prin reexperimentarea momentelor traumatice din trecut, ceea ce mă face să evit orice lucru care mi-ar putea aminti de acele evenimente.;Tulburarea de stres post-traumatic (TSPT);;;
Sunt copleșit de atacuri de panică intense și neașteptate, care vin cu simptome fizice puternice și o teamă paralizantă de moarte sau de pierdere a controlului.;Tulburarea de panică;;;
Îmi este extrem de greu să mă concentrez, sunt mereu pe fugă și acționez impulsiv, ceea ce face viața de zi cu zi provocatoare.;Tulburarea de deficit de atenție și hiperactivitate (TDAH);;;
Nu simt remușcări pentru acțiunile mele și adesea încalc regulile sau drepturile altora, fără a mă gândi la consecințe.;Tulburarea de personalitate antisocială (TPA);;;
Sunt extrem de speriat de a fi în centrul atenției sau de a fi judecat de alții, ceea ce mă face să evit orice situație socială.;Fobia socială;;;
Mă trezesc făcând lucruri în timp ce dorm, fără să îmi amintesc despre asta, ceea ce este înfricoșător și periculos.;Tulburarea de somnambulism;;;
Sunt îngrijorat aproape tot timpul, despre aproape orice, și această neliniște constantă mă epuizează.;Tulburarea de anxietate generalizată (TAG);;;
Simt o nevoie constantă de admirație și am un simț exagerat al propriei importanțe, dar adânc în interior, sunt extrem de vulnerabil la critică.;Tulburarea de personalitate narcisistă (TPN);;;
Am o teamă irațională și intensă de anumite obiecte sau situații, care mă determină să le evit cu orice preț.;Fobia specifică;;;
Trăiesc simptome fizice severe, cum ar fi paralizia sau pierderea simțurilor, fără nicio explicație medicală.;Tulburarea de conversie;;;
Am o nevoie disperată de a fi îngrijit și o teamă copleșitoare de a fi lăsat singur, ceea ce mă face să mă agăț de relații chiar și când nu sunt sănătoase.;Tulburarea de personalitate dependenta (TPD);;;
Nu pot să mă opresc din pariat, chiar și când pierd totul, ceea ce îmi distruge viața și relațiile.;Tulburarea de jocuri de noroc;;;
Prefer să fiu singur, simt puțin sau deloc interes pentru relațiile sociale și rareori experimentez emoții puternice.;Tulburarea de personalitate schizoidă (TPS);;;
Am episoade de furie intensă și incontrolabilă, care explodează fără avertisment și provoacă probleme serioase în viața mea.;Tulburarea de control a furiei;;;
